ID,Name,Concepticon_ID,Concepticon_Gloss,Number
157_stab,stab,1434,STAB,157
158_stand,stand,1442,STAND,158
159_star,star,1430,STAR,159
160_stick,stick,1295,STICK,160
161_stone,stone,857,STONE,161
162_straight,straight,1404,STRAIGHT,162
163_suck,suck,1421,SUCK,163
164_sun,sun,1343,SUN,164
165_swell,swell,1573,SWELL,165
166_swim,swim,1439,SWIM,166
167_tail,tail,1220,TAIL,167
168_that,that,78,THAT,168
169_there,there,1937,THERE,169
170_they,they,817,THEY,170
171_thick,thick,1244,THICK,171
172_thin,thin,2308,THIN,172
173_think,think,2271,THINK,173
174_this,this,1214,THIS,174
175_thou,thou,1215,THOU,175
176_three,three,492,THREE,176
177_throw,throw,1456,THROW,177
178_tie,tie,1917,TIE,178
179_tongue,tongue,1205,TONGUE,179
180_tooth,tooth,1380,TOOTH,180
181_tree,tree,906,TREE,181
182_turn,turn,1588,TURN,182
183_two,two,1498,TWO,183
184_vomit,vomit,1278,VOMIT,184
185_walk,walk,1443,WALK,185
186_warm,warm,1232,WARM,186
187_wash,wash,1453,WASH,187
188_water,water,948,WATER,188
189_we,we,1212,WE,189
190_wet,wet,1726,WET,190
191_what,what,1236,WHAT,191
192_when,when,1238,WHEN,192
193_where,where,1237,WHERE,193
194_white,white,1335,WHITE,194
195_who,who,1235,WHO,195
196_wide,wide,1243,WIDE,196
197_wife,wife,1199,WIFE,197
198_wind,wind,960,WIND,198
199_wing,wing,1257,WING,199
200_wipe,wipe,1454,WIPE,200
201_with,with,1340,WITH,201
202_woman,woman,962,WOMAN,202
203_woods,woods,420,FOREST,203
204_worm,worm,1219,WORM,204
205_year,year,1226,YEAR,205
206_yellow,yellow,1424,YELLOW,206
207_you,you,1213,YOU,207
